timestamp,pdf_path,role,run,headcount,confidence
2025-09-23T11:34:40.622072,C:\Users\kevin\Downloads\Microsoft - APAC.pdf,AI Engineer,1,,
2025-09-23T11:34:40.622072,C:\Users\kevin\Downloads\Microsoft - APAC.pdf,AI Engineer,2,,
2025-09-23T11:34:40.622072,C:\Users\kevin\Downloads\Microsoft - APAC.pdf,AI Engineer,3,,
